Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
46,11,8,95,0,Some Random Commen with Id 46
47,11,8,24,3,Some Random Commen with Id 47
48,11,8,101,6,Some Random Commen with Id 48
49,11,8,32,9,Some Random Commen with Id 49
50,11,8,58,4,Some Random Commen with Id 50
51,11,8,86,9,Some Random Commen with Id 51
52,11,8,64,4,Some Random Commen with Id 52
53,11,8,84,9,Some Random Commen with Id 53
54,11,8,67,9,Some Random Commen with Id 54
55,12,7,47,9,Some Random Commen with Id 55
56,12,7,78,2,Some Random Commen with Id 56
57,12,7,167,1,Some Random Commen with Id 57
58,13,9,50,8,Some Random Commen with Id 58
59,13,9,0,2,Some Random Commen with Id 59
60,13,9,96,1,Some Random Commen with Id 60
61,13,9,178,2,Some Random Commen with Id 61
62,13,9,139,0,Some Random Commen with Id 62
63,14,4,105,5,Some Random Commen with Id 63
64,14,4,68,7,Some Random Commen with Id 64
65,14,4,173,0,Some Random Commen with Id 65
66,14,4,85,9,Some Random Commen with Id 66
67,14,4,101,5,Some Random Commen with Id 67
68,14,4,66,1,Some Random Commen with Id 68
69,14,4,158,9,Some Random Commen with Id 69
70,14,4,46,9,Some Random Commen with Id 70
71,14,4,59,4,Some Random Commen with Id 71
72,15,5,13,8,Some Random Commen with Id 72
73,15,5,196,4,Some Random Commen with Id 73
74,15,5,132,7,Some Random Commen with Id 74
75,15,5,127,5,Some Random Commen with Id 75
76,15,5,196,8,Some Random Commen with Id 76
77,15,5,17,1,Some Random Commen with Id 77
78,15,5,187,9,Some Random Commen with Id 78
79,15,5,54,7,Some Random Commen with Id 79
80,15,5,46,8,Some Random Commen with Id 80
81,16,5,179,4,Some Random Commen with Id 81
82,17,7,106,6,Some Random Commen with Id 82
83,17,7,143,3,Some Random Commen with Id 83
84,17,7,172,6,Some Random Commen with Id 84
85,17,7,97,8,Some Random Commen with Id 85
86,17,7,133,7,Some Random Commen with Id 86
87,17,7,177,0,Some Random Commen with Id 87
88,18,1,41,4,Some Random Commen with Id 88
89,18,1,147,3,Some Random Commen with Id 89
90,18,1,7,0,Some Random Commen with Id 90
91,19,4,119,0,Some Random Commen with Id 91
92,19,4,127,7,Some Random Commen with Id 92
93,19,4,64,6,Some Random Commen with Id 93
94,20,4,152,6,Some Random Commen with Id 94
95,20,4,70,2,Some Random Commen with Id 95
96,20,4,115,4,Some Random Commen with Id 96
97,20,4,71,3,Some Random Commen with Id 97
98,20,4,111,4,Some Random Commen with Id 98
99,20,4,80,0,Some Random Commen with Id 99
100,20,4,99,6,Some Random Commen with Id 100
101,22,4,118,4,Some Random Commen with Id 101
102,22,4,19,2,Some Random Commen with Id 102
103,22,4,26,1,Some Random Commen with Id 103
104,22,4,98,4,Some Random Commen with Id 104
105,22,4,28,6,Some Random Commen with Id 105
106,22,4,154,1,Some Random Commen with Id 106
107,22,4,78,0,Some Random Commen with Id 107
108,22,4,99,2,Some Random Commen with Id 108
109,22,4,152,1,Some Random Commen with Id 109
110,25,3,25,7,Some Random Commen with Id 110
111,25,3,110,3,Some Random Commen with Id 111
112,25,3,159,4,Some Random Commen with Id 112
113,25,3,152,0,Some Random Commen with Id 113
114,25,3,48,3,Some Random Commen with Id 114
115,25,3,50,2,Some Random Commen with Id 115
116,25,3,158,6,Some Random Commen with Id 116
117,25,3,124,9,Some Random Commen with Id 117
118,25,3,162,0,Some Random Commen with Id 118
119,26,8,74,3,Some Random Commen with Id 119
120,26,8,133,4,Some Random Commen with Id 120
121,26,8,83,3,Some Random Commen with Id 121
122,26,8,97,8,Some Random Commen with Id 122
123,27,4,68,1,Some Random Commen with Id 123
124,28,9,39,8,Some Random Commen with Id 124
125,29,9,147,4,Some Random Commen with Id 125
126,30,1,87,7,Some Random Commen with Id 126
127,30,1,38,1,Some Random Commen with Id 127
128,30,1,137,9,Some Random Commen with Id 128
129,30,1,91,2,Some Random Commen with Id 129
130,30,1,5,8,Some Random Commen with Id 130
131,32,9,75,2,Some Random Commen with Id 131
132,32,9,115,3,Some Random Commen with Id 132
133,32,9,57,8,Some Random Commen with Id 133
134,32,9,59,6,Some Random Commen with Id 134
135,33,8,121,9,Some Random Commen with Id 135
136,33,8,169,6,Some Random Commen with Id 136
137,33,8,181,6,Some Random Commen with Id 137
138,33,8,121,5,Some Random Commen with Id 138
139,33,8,110,7,Some Random Commen with Id 139
140,33,8,54,7,Some Random Commen with Id 140
141,33,8,156,8,Some Random Commen with Id 141
142,33,8,20,2,Some Random Commen with Id 142
143,33,8,173,8,Some Random Commen with Id 143
144,36,5,16,2,Some Random Commen with Id 144
145,36,5,130,9,Some Random Commen with Id 145
146,36,5,108,7,Some Random Commen with Id 146
147,36,5,15,5,Some Random Commen with Id 147
148,36,5,185,5,Some Random Commen with Id 148
149,36,5,48,0,Some Random Commen with Id 149
150,36,5,80,4,Some Random Commen with Id 150
151,36,5,80,1,Some Random Commen with Id 151
152,36,5,51,3,Some Random Commen with Id 152
153,37,3,51,7,Some Random Commen with Id 153
154,38,7,117,3,Some Random Commen with Id 154
155,39,2,75,1,Some Random Commen with Id 155
156,39,2,193,2,Some Random Commen with Id 156
157,39,2,102,8,Some Random Commen with Id 157
158,39,2,17,2,Some Random Commen with Id 158
159,39,2,65,4,Some Random Commen with Id 159
160,39,2,144,7,Some Random Commen with Id 160
161,39,2,73,7,Some Random Commen with Id 161
162,39,2,6,1,Some Random Commen with Id 162
163,39,2,41,6,Some Random Commen with Id 163
